omega,productivity,predictability,growth_rate,gini,in_window
0.000000000000000000e+00,2.220446049250313081e-16,2.220446049250313081e-16,0.000000000000000000e+00,2.000000000000000111e-01,0.000000000000000000e+00
2.000000000000000042e-03,7.652862265524196239e-03,2.220446049250313081e-16,1.618033988749894843e-05,2.012944271909999361e-01,0.000000000000000000e+00
4.000000000000000083e-03,1.529777275601285069e-02,2.220446049250313081e-16,3.236067977499789685e-05,2.025888543819998333e-01,0.000000000000000000e+00
6.000000000000000125e-03,2.293478005229987460e-02,2.220446049250313081e-16,4.854101966249685206e-05,2.038832815729997583e-01,0.000000000000000000e+00
8.000000000000000167e-03,3.056393312700167453e-02,2.220446049250313081e-16,6.472135954999579371e-05,2.051777087639996833e-01,0.000000000000000000e+00
1.000000000000000021e-02,3.818528134847198885e-02,2.220446049250313081e-16,8.090169943749475569e-05,2.064721359549995805e-01,0.000000000000000000e+00
1.200000000000000025e-02,4.579887448480846057e-02,2.220446049250313081e-16,9.708203932499370411e-05,2.077665631459995055e-01,0.000000000000000000e+00
1.400000000000000029e-02,5.340476270790706081e-02,2.220446049250313081e-16,1.132623792124926525e-04,2.090609903369994305e-01,0.000000000000000000e+00
1.600000000000000033e-02,6.100299659756502901e-02,2.220446049250313081e-16,1.294427190999915874e-04,2.103554175279993277e-01,0.000000000000000000e+00
1.800000000000000211e-02,6.859362714563499441e-02,2.220446049250313081e-16,1.456230589874905629e-04,2.116498447189992527e-01,0.000000000000000000e+00
2.000000000000000042e-02,7.617670576022983475e-02,2.220446049250313081e-16,1.618033988749895114e-04,2.129442719099991776e-01,0.000000000000000000e+00
2.199999999999999872e-02,8.375228426997849418e-02,2.220446049250313081e-16,1.779837387624884327e-04,2.142386991009990749e-01,0.000000000000000000e+00
2.400000000000000050e-02,9.132041492833464780e-02,2.220446049250313081e-16,1.941640786499874082e-04,2.155331262919989999e-01,0.000000000000000000e+00
2.600000000000000228e-02,9.888115041793898996e-02,2.220446049250313081e-16,2.103444185374863567e-04,2.168275534829989248e-01,0.000000000000000000e+00
2.800000000000000058e-02,1.064345438550331480e-01,2.220446049250313081e-16,2.265247584249853051e-04,2.181219806739988498e-01,0.000000000000000000e+00
2.999999999999999889e-02,1.139806487939321045e-01,2.220446049250313081e-16,2.427050983124842264e-04,2.194164078649987470e-01,0.000000000000000000e+00
3.200000000000000067e-02,1.215195192315475792e-01,2.220446049250313081e-16,2.588854381999831748e-04,2.207108350559986720e-01,0.000000000000000000e+00
3.400000000000000244e-02,1.290512096119708074e-01,2.220446049250313081e-16,2.750657780874822046e-04,2.220052622469985970e-01,0.000000000000000000e+00
3.600000000000000422e-02,1.365757748311118291e-01,2.220446049250313081e-16,2.912461179749811259e-04,2.232996894379984942e-01,0.000000000000000000e+00
3.799999999999999906e-02,1.440932702413947331e-01,2.220446049250313081e-16,3.074264578624800472e-04,2.245941166289984192e-01,0.000000000000000000e+00
4.000000000000000083e-02,1.516037516565142962e-01,2.220446049250313081e-16,3.236067977499790227e-04,2.258885438199983442e-01,0.000000000000000000e+00
4.200000000000000261e-02,1.591072753562502440e-01,2.220446049250313081e-16,3.397871376374779441e-04,2.271829710109982414e-01,0.000000000000000000e+00
4.399999999999999745e-02,1.666038980913427947e-01,2.220446049250313081e-16,3.559674775249768654e-04,2.284773982019981664e-01,0.000000000000000000e+00
4.599999999999999922e-02,1.740936770884295992e-01,2.220446049250313081e-16,3.721478174124758951e-04,2.297718253929980914e-01,0.000000000000000000e+00
4.800000000000000100e-02,1.815766700550440760e-01,2.220446049250313081e-16,3.883281572999748165e-04,2.310662525839979886e-01,0.000000000000000000e+00
5.000000000000000278e-02,1.890529351846778061e-01,2.220446049250313081e-16,4.045084971874737920e-04,2.323606797749979136e-01,0.000000000000000000e+00
5.200000000000000455e-02,1.965225311619073212e-01,2.220446049250313081e-16,4.206888370749727133e-04,2.336551069659978386e-01,0.000000000000000000e+00
5.399999999999999939e-02,2.039855171675838408e-01,2.220446049250313081e-16,4.368691769624716346e-04,2.349495341569977358e-01,0.000000000000000000e+00
5.600000000000000117e-02,2.114419528840918439e-01,2.220446049250313081e-16,4.530495168499706102e-04,2.362439613479976608e-01,0.000000000000000000e+00
5.800000000000000294e-02,2.188918985006718110e-01,2.220446049250313081e-16,4.692298567374695315e-04,2.375383885389975858e-01,0.000000000000000000e+00
5.999999999999999778e-02,2.263354147188136878e-01,2.220446049250313081e-16,4.854101966249684528e-04,2.388328157299974830e-01,0.000000000000000000e+00
6.199999999999999956e-02,2.337725627577176279e-01,2.220446049250313081e-16,5.015905365124674825e-04,2.401272429209974080e-01,0.000000000000000000e+00
6.400000000000000133e-02,2.412034043598242361e-01,2.220446049250313081e-16,5.177708763999663497e-04,2.414216701119973330e-01,0.000000000000000000e+00
6.600000000000000311e-02,2.486280017964175304e-01,2.220446049250313081e-16,5.339512162874654336e-04,2.427160973029972579e-01,0.000000000000000000e+00
